algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,356622,42287
rk-eda,N-be75eec,50,500,150,250000,250000,205603,492
rk-eda,tai20_5_8,20,20,10,40000,40000,16238,1
rk-eda,N-be75eec,50,5000,2500,250000,250000,206001,2430
rk-eda,tai20_5_8,20,2000,400,40000,40000,15657,59
rk-eda,N-stabu70,60,60,18,360000,360000,284778,61
rk-eda,tai20_5_8,20,200,40,40000,40000,15802,10
rk-eda,N-stabu70,60,60,30,360000,360000,292140,62
rk-eda,tai20_20_8,20,20,4,40000,40000,35971,2
rk-eda,tai50_10_9,50,500,250,250000,250000,103266,653
rk-eda,N-stabu70,60,600,300,360000,360000,298666,585
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,356136,73020
rk-eda,tai20_20_8,20,20,4,40000,40000,36245,1
rk-eda,tai20_20_8,20,20,10,40000,40000,35966,3
rk-eda,N-be75eec,50,50,15,250000,250000,200261,51
rk-eda,N-be75eec,50,5000,1500,250000,250000,206316,4090
rk-eda,tai20_20_8,20,20,4,40000,40000,36162,1
rk-eda,N-stabu70,60,60,12,360000,360000,283994,60
rk-eda,tai20_20_8,20,200,60,40000,40000,35602,26
rk-eda,N-be75eec,50,5000,1000,250000,250000,207471,4878
rk-eda,N-be75eec,50,500,250,250000,250000,203578,474
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,359547,8030
rk-eda,N-be75eec,50,5000,1000,250000,250000,208162,3606
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,356111,44587
rk-eda,tai20_5_8,20,20,6,40000,40000,15920,1
rk-eda,tai50_10_9,50,50,15,250000,250000,104855,32
rk-eda,N-stabu70,60,600,120,360000,360000,299512,571
rk-eda,tai50_10_9,50,50,10,250000,250000,104770,70
rk-eda,N-stabu70,60,6000,1800,360000,360000,302328,5602
rk-eda,N-be75eec,50,50,15,250000,250000,201072,42
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15626,99
rk-eda,N-stabu70,60,6000,3000,360000,360000,302775,5075
rk-eda,N-be75eec,50,500,250,250000,250000,204274,426
rk-eda,tai20_5_8,20,200,40,40000,40000,15902,9
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,359859,4721
rk-eda,N-stabu70,60,600,120,360000,360000,300859,570
rk-eda,N-stabu70,60,60,30,360000,360000,280309,62
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,358030,45565
rk-eda,tai20_20_8,20,200,60,40000,40000,35825,15
rk-eda,N-be75eec,50,5000,1500,250000,250000,208082,2459
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101852,5131
rk-eda,tai20_5_8,20,20,4,40000,40000,16701,1
rk-eda,tai20_5_8,20,200,100,40000,40000,15875,5
rk-eda,tai20_5_8,20,200,60,40000,40000,15956,9
rk-eda,N-be75eec,50,5000,1000,250000,250000,207331,2440
rk-eda,tai50_10_9,50,500,100,250000,250000,101845,516
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35613,155
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,354142,44883
rk-eda,tai20_5_8,20,200,100,40000,40000,16015,10
rk-eda,N-stabu70,60,6000,3000,360000,360000,301500,5632
rk-eda,tai20_5_8,20,200,60,40000,40000,15497,10
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35178,273
rk-eda,N-stabu70,60,6000,1200,360000,360000,305659,5002
rk-eda,tai20_5_8,20,200,100,40000,40000,15673,5
rk-eda,tai20_5_8,20,20,10,40000,40000,16135,0
rk-eda,tai50_10_9,50,50,25,250000,250000,103858,65
rk-eda,N-stabu70,60,6000,3000,360000,360000,311146,5713
rk-eda,tai20_5_8,20,20,10,40000,40000,15919,1
rk-eda,tai20_20_8,20,200,60,40000,40000,35248,26
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,356684,4623
rk-eda,tai20_5_8,20,20,4,40000,40000,16037,1
rk-eda,tai20_20_8,20,20,4,40000,40000,35564,1
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,358826,4621
rk-eda,tai50_10_9,50,50,10,250000,250000,104870,57
rk-eda,tai50_10_9,50,500,250,250000,250000,104141,642
rk-eda,tai20_5_8,20,20,10,40000,40000,16643,1
rk-eda,tai20_20_8,20,200,60,40000,40000,35326,15
rk-eda,N-be75eec,50,5000,2500,250000,250000,204944,2672
rk-eda,tai100_10_8,100,100,50,1000000,1000000,362276,506
rk-eda,N-be75eec,50,500,250,250000,250000,203455,251
rk-eda,tai100_10_8,100,100,20,1000000,1000000,363367,498
rk-eda,tai50_10_9,50,500,250,250000,250000,101535,321
