instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-be75eec,1810571,PLEDA,233117.000,1390.251,5000,2500
N-t59b11xx,3714236,PLEDA,206405.000,63.380,44,8
N-be75eec,3613029,PLEDA,233116.000,1879.298,5000,2500
N-be75eec_150,537552,PLEDA,3342202.000,44070.422,15000,4500
N-stabu70,2421114,PLEDA,357714.000,2432.546,600,300
N-be75eec_150,32914,PLEDA,3303333.000,54451.388,150,75
N-be75eec_150,8514963,PLEDA,3347194.000,17055.593,1500,300
N-stabu1_250,4212028,PLEDA,7455158.000,272441.934,2500,1250
N-be75eec_150,159875,PLEDA,3336343.000,42475.387,1500,750
N-stabu70,4224353,PLEDA,358691.000,2452.266,600,300
N-be75eec_150,622441,PLEDA,3332791.000,46282.881,1500,750
N-t59b11xx,88683,PLEDA,208685.000,919.114,4400,1320
N-t59b11xx,3810483,PLEDA,207570.000,75.169,44,13
N-stabu70,4126852,PLEDA,357706.000,1453.104,600,180
N-stabu1_250,8525504,PLEDA,7428289.000,256860.406,2500,500
N-be75eec_150,219295,PLEDA,3274954.000,14270.531,150,45
N-be75eec,5311686,PLEDA,233121.000,762.630,5000,1500
N-t59b11xx,9012349,PLEDA,208115.000,1168.422,4400,2200
N-stabu70,209834,PLEDA,355412.000,341.966,60,18
N-stabu70,6122109,PLEDA,357904.000,932.098,6000,1200
N-be75eec_150,859389,PLEDA,3328130.000,16955.801,1500,300
N-be75eec_150,8925563,PLEDA,3333600.000,36843.931,15000,4500
N-t59b11xx,8918712,PLEDA,208055.000,530.679,4400,1320
N-be75eec_150,7225705,PLEDA,3336791.000,64210.322,15000,7500
N-stabu70,8224385,PLEDA,351561.000,222.043,60,12
N-stabu70,491516,PLEDA,356871.000,1540.130,600,120
N-stabu1_250,1928831,PLEDA,7252362.000,37292.372,250,50
N-stabu1_250,2819840,PLEDA,7258540.000,61966.041,250,50
N-be75eec_150,730214,PLEDA,3342180.000,41375.170,15000,3000
N-be75eec_150,8028664,PLEDA,3346040.000,59966.229,15000,4500
N-t59b11xx,7716126,PLEDA,209085.000,516.033,440,132
N-t59b11xx,822175,PLEDA,207090.000,40.499,44,8
N-stabu70,5719066,PLEDA,354568.000,2004.681,60,30
N-be75eec,1026321,PLEDA,233341.000,92.911,50,10
N-be75eec,58358,PLEDA,232705.000,596.261,500,100
N-be75eec_150,6825247,PLEDA,3358526.000,24633.060,1500,450
N-t59b11xx,6810328,PLEDA,208365.000,581.027,440,132
N-be75eec_150,3115855,PLEDA,3343844.000,22022.805,1500,300
N-stabu1_250,8025456,PLEDA,7445525.000,221295.206,25000,7500
N-stabu1_250,1420154,PLEDA,7436295.000,144391.392,2500,750
N-stabu1_250,731812,PLEDA,7252129.000,32302.227,250,50
N-t59b11xx,877062,PLEDA,209085.000,981.256,440,220
N-stabu1_250,2225759,PLEDA,7456784.000,198867.397,2500,500
N-stabu1_250,730742,PLEDA,7454657.000,165722.665,25000,5000
N-stabu70,8532497,PLEDA,357806.000,990.283,600,120
N-be75eec_150,5222208,PLEDA,3339312.000,42066.658,15000,3000
N-stabu1_250,8522268,PLEDA,7411509.000,91213.727,2500,500
N-be75eec,208520,PLEDA,233164.000,222.835,50,15
N-be75eec_150,3711857,PLEDA,3251440.000,5217.075,150,30
N-stabu70,142549,PLEDA,357329.000,1296.434,600,180
N-t59b11xx,6812282,PLEDA,208935.000,524.890,440,132
N-t59b11xx,59645,PLEDA,209115.000,583.412,440,132
N-be75eec_150,1913523,PLEDA,3245126.000,4141.582,150,30
N-be75eec_150,7614423,PLEDA,3333826.000,14384.835,1500,300
N-be75eec,253330,PLEDA,233123.000,556.462,5000,1000
N-t59b11xx,3010700,PLEDA,208720.000,385.039,44,22
N-be75eec_150,2028227,PLEDA,3295530.000,14078.930,150,45
N-stabu1_250,109916,PLEDA,7257573.000,51134.217,250,50
N-be75eec_150,716220,PLEDA,3344724.000,31852.742,15000,4500
N-t59b11xx,294350,PLEDA,206450.000,82.122,44,13
