,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
429,N-be75eec,7,PL,10000,0.1,228786,2476999,13.695
430,N-be75eec,4,PL,1000,0.75,234069,1414749,19.568
431,N-be75eec,6,PL,10000,0.001,198978,1323229,18.585
435,N-be75eec,6,PL,1000,0.9,234214,2104791,21.176
440,N-be75eec,2,PL,10000,0.05,223676,2374603,13.292
441,N-be75eec,8,PL,10000,0.75,233370,2404891,21.078
442,N-be75eec,4,PL,10000,0.01,208011,2391179,13.153
444,N-be75eec,9,PL,10000,0.75,233046,2406054,22.119
446,N-be75eec,2,PL,10000,0.75,232999,2336903,13.266
448,N-be75eec,4,PL,10000,0.75,233101,2450542,21.127
449,N-be75eec,7,PL,10000,0.05,224870,2481734,13.244
457,N-be75eec,2,PL,10000,0.001,198973,658211,20.208
460,N-be75eec,10,PL,10000,0.05,225909,2421152,23.497
462,N-be75eec,9,PL,10000,0.5,232661,2398800,13.78
464,N-be75eec,3,PL,10000,0.5,232699,2359840,13.799
465,N-be75eec,6,PL,10000,0.75,233205,2272838,13.526
471,N-be75eec,4,PL,10000,0.9,233363,2261528,13.691
473,N-be75eec,10,PL,10000,0.5,232449,2305859,13.202
474,N-be75eec,9,PL,10000,0.05,225039,2071054,21.393
487,N-be75eec,9,PL,10000,0.9,233305,2368271,24.505
489,N-be75eec,10,PL,10000,0.75,233080,1994638,13.017
492,N-be75eec,1,PL,10000,0.75,233276,2334863,21.224
494,N-be75eec,1,PL,10000,0.1,228694,2186767,17.887
498,N-be75eec,8,PL,10000,0.1,228908,1917830,16.155
499,N-be75eec,7,PL,10000,0.001,201759,884811,25.38
501,N-be75eec,4,PL,10000,0.1,228314,2443900,20.894
509,N-be75eec,5,PL,10000,0.1,228776,1996354,22.824
510,N-be75eec,5,PL,10000,0.5,232665,2378214,17.406
511,N-be75eec,3,PL,10000,0.75,233108,2133773,13.011
513,N-be75eec,2,PL,10000,0.9,233487,1731548,13.685
515,N-stabu70,10,PL,10,0.01,359168,782762,30.613
516,N-stabu70,10,PL,10,0.001,357360,3521157,26.929
521,N-be75eec,5,PL,10000,0.75,233191,2166169,23.102
522,N-be75eec,8,PL,10000,0.9,233505,2461503,21.466
525,N-be75eec,7,PL,10000,0.75,233667,2284493,13.294
528,N-be75eec,6,PL,10000,0.5,232547,2238454,25.911
530,N-be75eec,7,PL,10000,0.5,232664,2455636,21.1
533,N-stabu70,5,PL,10,0.1,359474,1489455,29.675
534,N-stabu70,4,PL,10,0.1,360429,3457151,26.934
