id,date,problem,instance,iterations,model,pop size,trunc size,min,elapsed time in secs
1612e02e-0eaf-4ed2-ac2f-1b27903347bb,2023-9-28 9:18,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.3,1084193,63430
1698dc87-db13-48a0-a9f1-a088616b3d9d,2023-9-28 16:18,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.3,319095,280
16d5e0ac-3266-4349-a78b-dd52ddd745a7,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.3,99374,4
17e8f864-e617-4b0f-9d51-6151ed5a99c6,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.3,14377,1
18ca6f61-2fbf-40b0-9b80-08b0b0838e13,2023-9-27 15:45,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.2,1217558,251
18d95e39-be98-42b4-9cc9-c8d6c5599e88,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.5,34677,0
196e43e6-1aac-4406-8d2d-c412d686001d,2023-9-27 15:49,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.5,1199048,477
19a42d48-1666-4ca8-bd77-0887e640f0bd,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.3,14353,1
19da6700-cae6-463c-a082-79489b560b7c,2023-9-28 16:21,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.3,318955,465
1a2736dd-386f-454c-a4c7-84cc3da6e7a8,2023-9-28 16:22,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.5,1195280,544
1a41261e-7aee-4b6e-a4fa-68de0ef913ee,2023-9-27 13:30,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.2,33600,75
1a85d732-ddff-4946-bb86-f9dd218ae74e,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.5,14352,1
1b6b2cd4-ce6e-49e6-ba5f-973f2ca7fac4,2023-9-28 9:23,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.3,1084092,63752
1b945795-35c5-4f2f-a794-17d1644b3dfa,2023-9-27 13:30,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.2,94123,24
1c196a92-9a34-4855-bc71-86146c6439dd,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.5,15178,0
1c3d01c7-44ba-435c-b92c-2a8471195d94,2023-9-28 16:39,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.2,89862,1586
1cb4466c-27cd-49c2-86d5-feed3216d69f,2023-9-27 13:30,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.3,92118,25
1d23b6c6-435d-4dda-8768-2aa7f89b69f9,2023-9-27 13:30,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.2,14370,98
1d25aa53-a362-4453-b1a8-ddbeda7217b1,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.3,91321,27
1d2f7140-1e0b-45b5-bf38-8c194deddc46,2023-9-29 10:19,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.3,1081108,65117
1d3ef081-1ef9-4d4b-9976-5c1794fb35ae,2023-9-27 15:48,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.3,1211783,413
1dab80c3-2c28-42e5-9184-2d1e68b25e2b,2023-9-28 16:17,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,321411,260
1ddb40a9-fe9b-4181-98eb-8a0a58ef3f6e,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.5,338135,47
1df34f0c-017d-4312-9da5-36e96c33b9f6,2023-9-27 13:30,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.2,93404,44
1e829000-18ac-4558-a428-681403de3861,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.3,15082,0
1f168dc4-d51f-4b63-93ab-1393685f3127,2023-9-28 17:47,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.5,1125135,5612
1f58f9ff-364e-4397-8375-23635c6e3fc5,2023-9-27 13:31,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33600,101
1f603e4c-4602-4c48-b37f-b7f15a04e14a,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.2,34933,0
1fb38bb2-6ac7-4369-a018-92dfb1a16127,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.2,100465,3
2018cccd-b928-4c85-ac89-42ea98f8c04f,2023-9-29 1:49,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.5,297887,34575
20d5255d-e1dc-45c6-aa83-598cbd98f0e1,2023-9-28 16:18,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.3,1209212,284
20f3453b-faae-42e0-833e-1f45a8e80e59,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.5,338361,29
211e6406-15a9-432c-99bc-e8c1dbaa3696,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.3,15302,0
21329638-60d0-45f1-86e2-fd6e64da1b8f,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.3,14377,1
219a9cd6-6f19-4436-aada-b9c420f523ae,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.3,15237,0
21f1a3dc-4359-4600-ae82-d00a06491694,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.2,343896,38
223148b2-87dc-42d4-9916-d0810666bb0d,2023-9-28 15:58,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.2,14515,183
229f1252-c444-475b-aad8-a65ca189da81,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.3,34849,0
22b71792-3919-4930-8c2a-77afb0208e5b,2023-9-27 13:31,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,137
23613105-8030-49dd-9ae0-7ff63cdcb938,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.5,14418,1
23a6f166-9287-4426-81e6-8792792a9e97,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.5,90654,28
23b765f9-72f6-476d-a646-bcc0457829e8,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.3,340745,25
2434c142-d8f5-4f0e-bc42-c71edc88b41c,2023-9-27 13:30,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.3,93631,47
243854e3-fb0b-4c87-81b6-dbccb3e47949,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.2,94122,46
251fd0ec-d141-4a44-ba03-347bede46284,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.2,345070,23
2547ceba-3b78-4ece-81a9-5a7fffaf9968,2023-9-28 16:22,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.5,314538,530
2570c655-a547-48ab-9916-5a50ee02d5a1,2023-9-27 13:31,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.5,14515,111
261f483b-6c3f-4284-a4ea-60800d504cca,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.5,15071,0
264981a2-c1dd-4013-94f3-146838a1211a,2023-9-28 16:13,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.3,33600,65
2683a165-74e2-4421-a029-c0f0b9fd3b25,2023-9-28 15:57,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.5,14515,76
26a7ba9e-259c-43d5-9d9c-d1877430675b,2023-9-27 13:30,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.5,90065,49
26f41d0a-7609-4088-9bb8-06f5b9995e66,2023-9-28 16:17,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,320926,259
27dc82bb-5db4-4e12-853b-c638ce8ac1a3,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.3,14359,2
28709388-a869-45c0-a1ca-59b6785c9c3d,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.3,15150,0
2894a708-8913-4de5-b06e-504201cd2624,2023-9-28 16:12,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.3,34937,0
